ID,Solubility,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
A-5338,0.885419037,130.191,-0.3159,37.2377,9,2,1,3,5,54,0,0,0,0,32.34,56.03517955,2.822897411,73.45811191
A-5340,1.228647734,59.068,-0.6378,15.1237,4,1,1,2,1,24,0,0,0,0,29.1,24.81557743,2.296835262,20
A-5342,0.96197626,109.15,-0.9577,24.8448,6,3,2,4,1,38,0,0,0,0,76.63,41.35076602,0,46.81274391
A-5344,0.276803833,528.684,-0.4128,136.8364,36,10,8,12,23,218,0,0,0,0,202.46,215.3411635,-4.76E-07,390.0838417
A-5345,0.837883859,145.25,-0.3842,44.8398,10,3,2,3,6,62,0,0,0,0,55.28,63.36851878,2.998419094,57.87155902
A-5346,0.773766242,168.358,-5.992,0,2,0,0,2,0,8,0,0,0,0,0,78.82636016,0,2
A-5347,0.824163602,149.912,-3.1728,1.9358,2,1,0,2,0,8,0,0,0,0,30,72.15402033,0,2
A-5348,0.316972785,481.978,-9.9576,89.4044,31,16,8,19,8,172,0,2,2,2,279.02,204.438128,5.62E-07,524.7169357
A-5349,0.734729236,184.192,-1.9028,42.934,12,5,6,7,2,76,0,0,0,0,150.03,70.2289203,-1.01E-07,68.23883096
A-5350,0.441443819,361.873,-7.33,10.4746,7,4,0,7,0,32,0,0,0,0,80.26,159.6157608,-8.00E-08,92.85820232
A-5351,0.732265228,185.24,-2.28,33.7396,11,2,2,5,5,58,0,0,0,0,74.6,107.398038,0,118.5439728
A-5352,0.171543767,673.684,1.5133,164.2764,46,11,0,15,10,224,5,0,0,5,167.08,311.1166372,2.88E-06,2110.446638
A-5353,0.316586399,482.407,-6.12073,100.3389,31,11,4,15,5,152,1,0,2,3,205.4,221.6514453,2.40E-06,1296.962945
A-5354,0.630324108,234.248,0.1458,54.904,16,6,0,6,9,94,0,0,0,0,71.06,94.80095518,2.984708301,181.4859353
A-5355,0.766506387,171.196,0.8078,42.836,12,3,0,4,1,68,0,1,1,1,46.61,71.48443777,2.334944033,180.7419943
A-5356,1.054659457,88.174,-0.0203,27.6244,6,0,1,1,3,38,0,0,0,0,16.61,39.74888167,2.339092315,15.90013453
A-5357,0.655260037,221.177,-9.3688,5.754,4,0,0,4,0,24,0,0,0,0,0,62.73586231,0,3.245112498
A-5359,0.178204894,663.43,-3.6479,137.1583,44,18,7,23,11,240,3,2,2,5,321.09,245.9542116,1.157628091,1628.620108
A-5361,0.942546912,114.144,1.1036,29.427,8,2,0,2,0,46,0,1,1,1,26.3,48.83319778,2.266696515,78.52932501
A-5362,1.065047292,86.09,0.3234,20.193,6,2,0,2,0,34,0,1,1,1,26.3,36.10331355,2.367351851,59.9483369
A-5363,1.069815348,85.15,0.7599,26.7207,6,1,1,1,0,36,0,1,1,1,12.03,38.74305052,2,19.40990953
A-5364,1.012409699,97.183,-2.98162,12.978,4,2,0,3,0,16,0,0,0,0,23.79,73.20946207,0,29.509775
A-5365,0.499854127,316.334,-0.1076,70.0685,20,4,0,6,6,100,2,0,0,2,58.59,160.7118811,2.00E-06,500.115066
A-5367,1.25131592,56.064,-0.3881,15.9188,4,1,1,1,0,22,0,0,0,0,20.23,25.2625944,2.43309631,33.0383064
A-5368,1.118643879,76.095,-0.6389,18.7886,5,2,2,2,2,32,0,0,0,0,40.46,31.05760276,2.190609687,12.36452798
A-5370,0.962063804,109.128,0.5739,30.1598,8,2,1,2,1,42,1,0,0,1,33.12,47.81022697,2.832085835,149.8745239
A-5371,0.779379433,166.196,-2.0433,38.313,11,2,0,3,5,60,0,0,0,0,40.13,90.6630013,0,104.2651805
A-5372,0.239123102,576.603,0.66296,144.2503,40,10,2,12,10,206,3,0,1,4,157.08,254.7846499,4.41E-06,1587.849269
A-5373,0.725477312,188.158,-2.0591,41.8445,13,3,0,4,2,64,1,0,0,1,49.36,99.00893017,1.44E-06,268.6932326
A-5374,0.681477558,208.22,-1.1652,44.902,10,4,0,6,4,56,0,0,0,0,18.46,94.67147658,0,111.8252188
A-5375,0.57785683,264.328,0.107,63.23,14,4,0,6,6,80,0,0,0,0,18.46,120.131245,0,172.1800927
A-5376,1.091113043,81.075,-2.98162,12.978,4,2,0,3,0,16,0,0,0,0,23.79,52.700297,0,29.509775
A-5379,0.885285625,130.231,2.4575,40.543,9,1,0,1,2,56,0,0,0,0,9.23,58.40739106,3.28071084,69.12704562
A-5380,0.621109935,239.271,0.0707,61.6882,17,3,1,5,2,94,1,0,0,1,77.43,100.5082038,4.37E-07,368.2118101
A-5381,1.040224269,91.154,0.1456,25.8922,6,1,0,2,0,40,0,0,0,0,30,39.28463596,0,23.01955001
A-5382,0.161450613,689.524,-7.86808,139.3855,45,16,1,22,12,222,2,0,1,3,273.08,322.3611917,6.45E-06,1811.438562
A-5383,0.592898155,255.33,-5.6517,15.213,11,8,0,11,0,64,0,0,0,0,172.5,74.12809197,-1.07E-07,124.4015466
A-5385,-0.196609986,157.257,1.2879,46.5345,11,2,2,2,0,66,0,1,1,1,32.26,68.99705273,2.662738495,135.6417228
A-5386,-0.111286043,129.207,-1.1497,38.3641,9,3,2,3,2,54,0,1,1,1,41.29,56.207717,2.077860755,65.9483369
A-5388,-0.121109888,132.163,-1.5563,33.7669,9,3,3,4,5,54,0,0,0,0,75.35,54.04452822,2.828868135,85.02718015
A-5389,-0.647988018,444.619,5.15439,137.678,33,4,0,4,9,174,3,0,0,3,46.61,199.0412091,8.90E-07,885.6767452
A-5392,-0.037589826,109.041,0.9366,21.6245,6,3,0,4,2,36,0,0,0,0,35.53,37.20932894,2.988160882,46.7548875
A-5395,-1.507143452,347.19,4.3141,89.609,22,3,0,9,5,134,0,1,1,1,9.72,133.1686198,7.63E-07,280.376115
A-5396,-1.499743427,316.041,3.586,31.958,19,1,0,13,2,114,0,0,0,0,17.07,94.71190853,6.059229778,341.8865728
A-5397,-1.398370615,250.248,-11.7615,2.224,5,0,0,5,0,40,0,0,0,0,0,72.72971379,0,9.651484454
A-5398,-1.36253525,230.428,-0.4807,20.7228,9,6,0,9,0,56,0,0,0,0,132.4,61.9619023,-7.20E-08,69.05865003
A-5399,-2.023633484,1055.926,-4.4193,235.5872,70,20,2,28,12,334,7,0,1,8,331.73,487.9758465,2.66E-06,3810.324668
A-5402,-2.761513586,271.401,2.1064,77.8846,19,3,2,4,13,112,0,0,0,0,60.77,116.6686609,3.518647142,225.4305764
A-5404,-4.040590426,182.263,2.8505,54.416,13,2,0,2,6,74,0,0,0,0,26.3,80.28453344,4.041775586,202.1358185
A-5405,-5.159680215,215.212,1.0222,59.2529,16,3,2,5,2,80,2,0,0,2,74.85,91.16564179,2.17302831,548.4110627
A-5406,-1.569622787,556.819,-0.1904,77.6664,16,5,1,8,2,86,1,0,0,1,106.28,131.1982041,3.796584025,459.5421695
A-5407,0.213791577,415.64,5.1127,117.1568,28,4,3,6,13,164,1,0,0,1,100.62,172.0390686,1.05E-06,609.2079221
A-5408,0.159532562,346.288,-0.6124,77.1076,24,8,2,10,13,134,0,0,0,0,145.66,136.7930293,3.397429944,435.9468326
A-5410,-0.437646111,706.75,0.8486,173.1046,48,8,0,14,14,240,4,0,1,5,149.08,325.3917385,3.12E-06,1818.347953
A-5412,-1.171951452,545.426,-0.6347,106.8904,34,10,0,14,4,167,4,0,0,4,185.24,226.4312564,2.04E-06,1658.814491
A-5413,-2.225136908,151.14,1.3203,38.7337,11,1,1,3,0,56,1,0,1,2,29.1,63.03237588,2.5717725,321.8681388
A-5414,-3.204880928,272.477,3.3281,84.5171,19,3,2,3,15,116,0,0,0,0,47.28,120.2166809,2.914073356,162.8279228
A-5416,-1.340682714,824.769,-0.0211,202.778,57,17,5,22,10,278,5,0,1,6,312.46,369.0745824,3.60E-06,2713.143487
A-5423,-5.982567027,330.465,3.6221,90.0118,23,5,1,5,14,136,0,0,0,0,72.83,140.2876354,4.205043878,323.3736345
A-5425,-6.445626155,435.262,6.4396,100.67,22,3,0,4,14,130,0,1,1,1,26.3,144.9556262,2.191097467,280.8117433
A-5426,-2.251273114,228.288,1.919,58.714,16,4,0,4,4,92,0,1,1,1,52.6,96.29791779,2.331080356,215.4033153
A-5429,0.786089298,163.648,0.9475,42.596,10,2,0,3,3,60,0,1,1,1,12.47,67.09971769,2.017237222,83.6752921
A-5432,-1.443654068,222.2,0.2087,54.0716,16,5,2,6,3,84,1,0,0,1,103.32,90.98982454,3.247997745,524.8461715
A-5433,-1.602448873,240.215,-0.56408,57.8745,17,5,3,7,4,92,1,0,0,1,122.62,96.09865766,3.308821042,532.2331743
A-5437,0.057570824,272.389,2.0453,75.8479,19,3,3,5,12,112,0,0,0,0,92.42,115.4905293,3.314263619,257.0756317
A-5440,0.301076949,221.976,-12.4064,18.5655,12,6,0,10,3,54,0,0,0,0,112.55,135.3943963,-1.07E-07,160.8721876
A-5443,-0.75694657,822.828,-4.3326,170.8501,53,18,4,24,9,268,4,1,2,6,306.52,365.8694335,3.14E-06,2487.619141
A-5444,-0.803618922,636.237,2.45006,175.5634,45,8,0,10,17,242,2,0,0,2,106.66,274.4808197,1.01E-05,1364.732586
A-5445,0.454144176,281.155,0.2752,33.0853,15,4,1,13,2,92,0,0,0,0,80.31,79.16881953,5.284512596,384.7328028
A-5446,-1.133167485,559.841,-1.79358,98.7474,33,12,0,17,5,167,3,0,0,3,203.06,225.4004633,2.72E-06,1444.920306
A-5450,-2.494902829,312.538,6.0328,97.3568,22,2,1,2,18,132,0,0,0,0,29.46,138.8913272,3.020239291,213.7527837
A-5451,-5.53070544,339.395,3.4408,95.1866,25,5,2,6,4,130,3,0,0,3,88.24,145.2700813,2.158037579,905.7275804
A-5456,-3.397432456,374.562,4.1151,104.9874,26,5,3,5,19,156,0,0,0,0,86.99,159.6958619,3.247472257,308.7765621
A-5457,-7.687222082,486.656,6.37632,147.7205,36,5,0,5,8,190,2,0,2,4,42.01,215.250206,2.011530059,1246.462107
A-5458,-3.744077739,554.725,3.4431,145.7224,39,10,2,10,16,224,0,2,2,2,129.26,233.1459616,1.761966338,698.386508
A-5459,-3.354968489,226.448,5.9112,75.706,16,0,0,0,4,98,0,0,0,0,0,104.2133827,4.258424923,197.05865
A-5462,-3.398457379,250.298,0.4539,67.7694,18,3,2,5,6,98,1,0,0,1,67.43,106.5223117,2.481951907,392.4826469
A-5465,-3.775990335,298.511,6.7226,91.7988,21,1,1,2,17,126,0,0,0,0,37.3,132.2639649,2.946230138,213.6118931
A-5469,-2.346916077,178.275,2.8086,55.7238,13,1,1,1,4,72,1,0,0,1,20.23,80.41528956,2.534344076,230.1396095
A-5473,-4.219226833,331.327,3.5421,92.3422,25,5,2,5,2,122,3,0,1,4,89.62,142.8403585,1.901562605,1025.366189
A-5474,-4.393183723,494.554,6.5156,147.545,38,6,0,6,3,182,6,0,2,8,69.78,217.6815163,1.416360729,1895.162945
A-5475,-4.509615108,646.614,6.3494,201.3814,50,6,2,8,0,232,11,0,0,11,134,275.6355019,1.489526455,3545.358079
A-5477,-4.399238344,501.497,7.8542,159.2424,39,4,0,5,1,180,9,0,0,9,77.28,217.8187891,1.672490043,2675.969295
A-5478,-4.261751621,365.411,2.9874,94.8629,25,6,1,9,7,134,2,0,0,2,101.78,145.7852585,2.362468299,863.8389677
A-5479,-4.522223117,665.661,6.7549,202.0711,51,6,3,9,4,242,9,0,0,9,142.27,285.6434803,1.45027119,2984.207302
A-5480,-4.450427718,564.232,8.3178,150.482,34,2,0,4,0,158,8,0,0,8,34.14,208.219244,1.778776461,2286.074605
A-5485,-5.166184625,1466.171,2.5614,336.5017,97,26,7,37,12,480,9,0,3,12,483.26,611.5984229,2.25E-07,4880.082405
A-5487,-4.380910978,240.387,4.6365,73,17,2,0,2,12,100,0,0,0,0,26.3,106.4339049,2.983568085,187.3608411
A-5488,-4.214539206,163.885,-0.7397,7.8135,5,0,0,5,0,24,0,0,0,0,85.5,66.06791342,0,6.854752972
A-5489,-4.684502457,483.618,-8.9905,0,4,0,0,4,0,30,0,0,0,0,0,89.68318305,0,3.245112498
A-5490,-4.428848848,268.441,5.4167,82.234,19,2,0,2,14,112,0,0,0,0,26.3,119.1637892,2.986899171,211.3076044
A-5495,-4.991737621,196.231,1.297,49.5229,13,5,1,5,1,68,1,0,0,1,76.11,79.53907256,3.278303759,389.5836696
A-5496,-5.529966163,362.535,7.7338,106.0375,24,3,0,4,19,146,0,0,0,0,35.53,151.3631821,3.140120977,286.6085483
A-5497,-5.530921641,339.564,5.5209,104.1425,24,2,2,3,17,142,0,0,0,0,49.33,149.8541083,3.188534757,300.2138699
A-5499,-5.93729046,408.538,4.5811,118.2376,30,4,2,4,5,160,2,0,1,3,74.6,178.5033675,2.050728239,1000.809608
A-5500,-5.963849488,408.538,4.5811,118.2376,30,4,2,4,5,160,2,0,1,3,74.6,178.5033675,2.094093121,1000.809608
A-5505,-6.310389519,204.357,5.2015,70.993,15,0,0,0,7,84,0,0,0,0,0,95.0900285,3.74398894,259.7628977
A-5506,-6.836753134,686.678,11.44376,189.087,48,8,0,10,12,250,5,0,0,5,89.52,282.3598096,1.519816607,1717.170863
A-5507,-6.373645635,236.399,4.7423,71.938,17,1,0,1,4,98,0,2,2,2,17.07,106.3632425,1.69344378,227.9097336
A-5509,-6.757097539,571.607,12.8772,158.486,33,0,0,1,28,200,0,0,0,0,0,216.669809,4.73999056,280.9027041
A-5510,-7.012009544,925.235,11.0214,261.297,59,0,0,5,9,292,9,0,0,9,0,373.4352965,1.65E-07,1867.469986
A-5511,-6.789589525,492.81,8.9305,149.0188,34,4,1,4,15,196,1,0,0,1,46.53,214.382425,2.294669389,690.5415941
A-5512,-7.026737494,701.91,0.8951,170.296,41,0,0,5,6,208,6,0,0,6,0,272.8075289,2.67E-07,1184.166182
A-5513,-6.904485627,417.339,6.5209,122.5908,29,2,2,4,2,142,4,0,1,5,52.04,179.2481105,1.96670396,1164.408167
A-5515,-7.133614478,408.071,6.472,102.4435,25,3,0,7,0,122,4,0,1,5,34.89,161.2243042,2.047089307,1254.379755
A-5516,-7.046360074,289.29,3.3443,82.7995,22,4,2,4,0,106,2,0,2,4,66.4,125.9544218,1.913001875,869.0532174
A-5519,-7.544026474,699.933,7.17642,205.3704,51,9,3,9,6,276,4,0,0,4,126.69,301.4225961,2.048471338,1947.702203
A-5520,-7.423828912,530.712,8.81564,166.1844,40,4,2,4,8,204,4,0,1,5,58.2,237.3989285,1.72679747,1475.609354
A-5521,-7.375301399,474.604,7.69084,147.4284,36,4,2,4,6,180,4,0,1,5,58.2,211.9391601,1.716435515,1403.580749
A-5526,-7.397152994,284.484,6.0308,86.945,20,2,0,2,15,120,0,0,0,0,26.3,126.2183343,2.938980067,201.5949031
A-5529,-7.835715931,342.52,5.2858,97.764,24,4,0,4,15,142,0,0,0,0,52.6,148.2232859,3.856218775,295.6005381
A-5530,-8.190644916,432.762,7.2332,125.85,29,4,0,5,20,176,0,0,0,0,36.92,183.4614019,5.460572217,281.280047
A-5533,-8.765531466,582.816,5.4825,158.3586,40,7,7,10,22,242,0,0,0,0,192.82,242.3842684,-2.17E-07,533.09775
A-5536,-7.61189317,286.412,4.7088,78.936,20,4,0,4,12,118,0,0,0,0,52.6,122.6928127,3.370002673,224.8614272
A-5540,-8.150868125,863.372,10.449,225.8168,56,8,4,16,8,278,5,0,2,7,141.12,348.3143842,1.108029473,2475.41945
A-5541,-7.573831768,202.407,4.8371,65.697,13,1,1,1,10,80,0,0,0,0,0,89.90868095,2.758149818,71.19366194
A-5546,-7.739803669,878.868,4.59704,205.5046,59,18,2,25,16,304,4,0,0,4,342.46,364.576298,4.00E-07,2375.733636
A-5547,-7.122461047,184.279,3.2796,54.212,13,2,0,2,5,76,0,0,0,0,26.3,80.97413647,3.356089847,165.4193173
A-5548,-7.396502027,622.934,12.19746,190.8844,46,3,3,3,8,248,3,3,3,6,60.69,278.0343522,1.441018696,1427.647975
A-5550,-7.498558651,504.288,-12.1979,75.456,26,12,0,26,0,168,0,0,0,0,524.28,167.355399,-5.71E-09,344.1613454
A-5552,-7.602120788,400.056,5.0824,39.576,24,0,0,16,0,144,0,1,1,1,0,118.9365811,4.138360992,479.1759501
A-5553,-7.664711532,462.074,5.5126,47.254,28,0,0,18,0,166,0,2,2,2,0,138.991705,3.232032388,587.1548783
A-5554,-7.641525668,438.052,5.9228,41.792,26,0,0,18,5,158,0,0,0,0,0,128.2734831,6.612913906,468.2896327
A-5555,-8.362937857,403.623,6.7209,112.546,25,7,0,7,4,128,4,0,0,4,29.02,163.3084261,1.610623239,873.6920315
A-5556,-9.144234111,1393.908,15.9573,251.636,57,8,0,25,0,291,6,0,4,10,84.02,424.5551557,1.550040016,3147.084654
A-5557,-9.039324078,1094.773,13.8963,227.593,56,8,0,24,0,287,5,0,5,10,82.33,394.2492915,1.483338922,3101.640319
A-5559,-9.129987804,971.226,11.0968,137.292,24,0,0,10,3,130,2,0,0,2,0,223.8938576,2.47586343,699.770703
A-5560,-8.989632219,390.564,6.433,113.619,28,4,0,4,14,158,1,0,0,1,52.6,170.5504958,2.501752983,513.4728098
A-5563,-10.01699993,51.996,-0.0025,0,1,0,0,1,0,6,0,0,0,0,0,18.24199075,0,0
A-5569,-5.558846833,348.717,-0.3564,2.0595,5,0,0,5,0,30,0,0,0,0,85.5,95.02341998,0,4.854752972
A-5578,-6.813060611,604.705,9.8682,169.021,41,6,0,8,4,228,2,2,2,4,55.38,250.3412831,1.3691352,1101.175251
A-5579,-6.655885563,420.631,5.6404,119.2102,29,4,4,6,16,176,0,0,0,0,115.06,178.2796191,-3.62E-07,349.2772221
A-5581,-7.007487981,925.826,13.79364,255.407,66,12,4,16,12,334,7,0,0,7,200.7,388.4638733,1.146096486,2957.929326
A-5583,-7.69430966,484.77,6.37622,130.8664,32,4,2,8,4,160,3,0,1,4,70.56,199.2378358,1.698621592,1315.59163
A-5584,-7.605298094,374.784,4.23662,96.9001,26,6,1,9,6,134,2,0,0,2,114.03,153.5891341,2.237038588,880.8316553
A-5600,-7.866240199,654.079,5.138,178.6785,47,9,4,13,10,238,4,0,1,5,170.44,273.7015988,1.421204768,1972.364621
A-5601,-7.846560339,611.054,6.0391,170.1606,44,8,3,11,9,222,4,0,1,5,127.35,257.8352439,1.44989645,1820.705851
A-5602,-7.806077004,556.668,5.7283,84.935,17,2,0,7,3,92,1,0,0,1,26.3,140.8143739,3.156668477,455.0699808
A-5603,-7.630599326,367.365,2.5448,99.5281,27,6,3,9,6,138,3,0,0,3,128.77,153.0184324,1.806591105,1082.545552
A-5604,-6.566718008,30.974,0.8612,6.92,1,0,0,1,0,5,0,0,0,0,0,11.11930906,0,0
A-5606,-8.004532604,818.498,9.3616,206.2394,54,12,2,18,15,282,4,0,0,4,178.7,329.2886054,1.495287304,2013.126044
A-5607,-7.541446627,278.315,3.5616,81.783,21,4,0,5,3,104,2,0,1,3,57.39,122.1760268,1.813794078,694.7316202
A-5614,-5.596058626,299.039,3.2096,28.767,18,2,0,13,0,108,0,1,1,1,12.47,89.88745666,3.483104327,319.8329599
A-5621,-7.905255356,627.119,4.8173,165.8722,43,9,2,13,11,226,3,0,1,4,135.63,254.6822013,1.713617452,1734.189045
A-5622,-7.63486078,336.477,-0.3564,2.0595,5,0,0,5,0,26,0,0,0,0,85.5,95.86975248,0,4.854752972
A-5623,-7.72175787,395.202,4.5816,97.1731,26,6,1,10,6,134,2,0,0,2,114.03,157.5274582,2.272195511,901.5685236
A-5624,-7.89163614,576.591,2.2025,152.9263,41,9,5,14,8,210,4,0,1,5,183.84,232.8676449,1.493403313,1938.961997
A-5625,-7.757994585,412.408,4.344,126.384,32,6,0,6,0,148,8,0,0,8,68.74,177.8174116,1.73498427,2032.283306
A-5627,-7.825073045,474.604,7.79972,147.6204,36,4,2,4,4,180,4,0,1,5,58.2,211.9391601,1.710808984,1416.07489
A-5638,-5.311626594,126.243,3.2227,41.413,9,0,0,0,1,54,0,1,1,1,0,58.65295679,2.228362115,68.10749561
A-5643,-6.947445159,265.807,-0.5486,3.831,7,5,0,7,2,40,0,0,0,0,77.51,52.22244266,3.773284861,134.5191757
A-5648,-7.623477375,264.739,-1.3606,14.9405,9,0,0,9,0,40,0,0,0,0,142.5,100.285927,0,12.91968454
A-5649,-7.96678917,555.828,10.5821,175.605,40,4,0,4,17,212,5,0,0,5,39.07,242.1095587,1.10331137,1613.847484
A-5663,-6.815976001,327.3,1.59148,84.8611,24,7,1,9,4,122,1,0,1,2,128.7,136.5642019,2.471034746,834.5113205
A-5664,-7.263233538,916.65,11.39848,242.3338,62,10,4,18,14,318,5,0,0,5,199.98,376.0441715,1.269439239,2521.823876
A-5666,-7.77984306,352.37,6.37556,102.341,25,3,0,4,6,128,3,0,0,3,27.69,149.7407497,1.864592678,734.8760693
A-5667,-8.540480954,1978.59,24.087,529.6902,138,27,6,39,36,702,12,0,0,12,453.03,820.0028772,2.14E-07,6439.209944
A-5668,-7.783778559,340.382,4.29284,107.1814,26,2,2,4,0,126,5,0,0,5,65.72,147.6502856,1.998695922,1374.700228
A-5670,-7.907389462,436.298,5.4144,121.1194,30,4,2,7,4,148,3,0,1,4,70.56,182.5696274,1.692868528,1204.07991
A-5671,-8.101930722,657.558,8.63724,179.4854,46,8,2,12,11,234,4,0,0,4,141.78,275.4980078,1.458520486,1704.851062
A-5672,-7.511883361,162.5,0,0,1,0,0,1,0,10,0,0,0,0,0,37.89357643,0,0
A-5673,-7.973611776,470.524,7.7332,139.223,36,4,0,4,8,174,5,0,0,5,52.6,208.9397988,1.233730492,1340.28702
A-5675,-6.983571154,480.476,4.3928,133.642,36,8,0,8,6,178,3,0,2,5,95.78,206.3720144,1.331626775,1334.884483
A-5676,-6.756602507,284.336,3.5914,81.5575,20,4,0,4,2,100,3,0,0,3,43.37,118.9769988,2.284391425,864.349784
A-5684,-6.926267992,396.612,6.312,113.978,28,4,0,4,14,164,0,1,1,1,52.6,172.6772232,2.288598687,386.3210854
A-5687,-7.086497346,536.97,12.7644,169.911,38,2,0,2,31,228,0,0,0,0,26.3,240.7872924,3.158084608,456.258609
A-5688,-5.74386512,238.415,5.2765,74.192,17,1,0,1,0,100,0,1,1,1,17.07,107.3690737,2.231969407,197.7018595
A-5693,-6.602799271,162.276,3.9334,54.62,12,0,0,0,2,66,1,0,0,1,0,75.62105581,2.855624622,201.7201524
A-5695,-7.882271355,358.401,3.3744,105.647,27,4,0,6,3,134,2,0,2,4,65.34,156.6453396,1.626236074,993.3563807
A-5696,-7.981147657,440.459,4.63264,127.2278,33,6,2,8,5,164,3,0,1,4,113.7,189.3459549,1.672012097,1358.017824
A-5697,-8.14162673,623.504,7.0416,178.0874,44,8,2,12,7,218,4,0,2,6,114.12,262.5213627,1.137461922,1767.300897
A-5698,-8.175068622,643.483,6.4619,173.4061,45,8,3,12,8,226,4,0,1,5,135.19,267.186487,1.483414922,1921.121871
A-5699,-7.931857078,350.462,4.886,106.5444,26,4,2,4,8,136,2,0,1,3,58.2,154.5548559,2.073414075,758.8871149
A-5700,-4.861741107,296.539,6.3641,95.5618,21,1,1,1,13,126,0,0,0,0,20.23,133.7777819,3.516209888,254.5640291
A-5702,-5.85712424,283.544,6.5967,93.2174,20,1,1,1,17,122,0,0,0,0,26.02,128.6480998,2.889676678,137.8452392
A-5712,-5.968106767,349.656,2.4972,71.7601,23,6,1,12,4,122,2,0,0,2,102.95,130.5744375,2.114919597,761.6056138
A-5725,-6.971234419,314.466,5.009,87.067,22,4,0,4,7,130,0,1,1,1,51.36,135.3688889,2.440184349,380.8717866
A-5728,-7.066625646,381.218,4.9828,107.7274,26,2,2,6,0,126,5,0,0,5,65.72,155.5269339,2.030507018,1499.619162
A-5730,-7.115252612,417.256,5.95076,106.4074,28,7,0,10,8,142,2,0,0,2,118.68,170.9294291,2.185846436,922.5167214
A-5734,-5.94953191,272.429,4.8924,78.634,19,3,0,3,8,114,0,0,0,0,35.53,118.5312906,4.254836313,263.6578359
A-5737,-7.188638134,473.998,5.5503,54.294,22,0,0,14,6,134,0,0,0,0,0,126.7076442,6.112592581,395.3344953
A-5741,-7.711832978,202.407,4.4032,65.465,13,1,1,1,3,80,0,0,0,0,0,89.90868095,5.039847129,170.0537231
A-5742,-8.184413465,581.028,6.0305,163.6086,42,7,3,10,8,210,4,0,1,5,118.12,246.3567565,1.446487127,1751.279723
A-5743,-8.054415311,419.389,3.3442,109.7392,31,8,2,8,5,156,3,0,1,4,125.15,176.3237974,1.458539185,1188.029421
A-5745,-8.348750336,781.301,14.6876,234.5506,55,6,2,6,46,328,0,0,0,0,93.06,342.3950747,3.637513825,721.3442269
A-5746,-8.269885037,651.558,9.02724,182.054,46,8,0,12,7,230,4,0,2,6,114.78,275.3141613,1.133212715,1827.343828
A-5747,-7.982807307,336.415,6.3121,109.305,25,2,0,2,0,116,6,0,0,6,17.07,146.6311236,2.044955136,1507.697935
A-5749,-8.058503028,400.471,3.8963,109.268,29,6,0,6,10,156,2,0,0,2,71.06,171.2800857,1.929794509,725.6227017
A-5750,-8.217167979,560.592,2.50232,151.1113,40,8,5,13,7,204,4,0,1,5,174.61,227.7540997,1.481711508,1919.177248
A-5753,-7.996998283,327.727,3.6603,88.7491,23,5,1,7,3,114,2,0,1,3,84.6,135.7859163,1.924177355,874.6242242
A-5754,-7.96906134,307.309,3.31532,88.4761,23,5,1,6,3,114,2,0,1,3,84.6,131.8475922,1.990595779,869.1373559
A-5755,-8.213807356,523.549,4.2341,148.7673,39,7,4,10,8,196,4,0,1,5,145.51,222.3348679,1.421506642,1712.308897
A-5757,-8.458760141,891.501,18.3368,270.226,63,6,0,6,50,374,0,0,0,0,78.9,393.0012114,4.317151007,923.6692566
A-5758,-8.252098343,546.789,8.8062,157.2075,39,6,0,6,21,222,1,0,0,1,78.9,237.1100422,3.097732065,848.5960129
A-5759,-8.166784234,440.459,3.2151,126.1693,33,6,3,8,6,164,3,0,1,4,122.88,189.3079372,1.64418477,1309.99203
A-5764,-8.82836984,134.71,-0.4996,6.4405,2,1,0,2,0,10,0,0,0,0,17.07,26.13214626,2,2
A-5769,-7.188496045,430.626,6.7062,118.358,30,6,0,6,17,178,0,0,0,0,71.06,183.7687354,4.471600151,442.0878253
A-5770,-7.112066324,358.547,6.46084,107.2106,25,3,2,3,2,136,2,0,0,2,40.46,155.849496,2.537011223,725.6403482
A-5778,-7.395301899,656.003,6.6177,126.282,29,4,0,8,8,156,2,2,2,4,43.52,203.6856854,1.593498032,803.3824923
A-5780,-6.263770478,458.892,0.70392,104.4989,29,8,1,11,4,144,2,0,1,3,138.79,200.5629847,3.00E-06,1190.832657
A-5783,-6.279395406,460.48,0.8953,112.2579,31,8,1,10,4,150,3,0,1,4,138.79,206.5764409,2.72E-06,1396.000284
A-5785,-7.304443807,501.93,3.8183,138.931,36,6,4,10,6,180,3,0,1,4,142.75,210.5739846,1.62110665,1461.411244
A-5786,-6.71713979,125.127,0.62928,31.386,9,3,0,3,2,48,0,0,0,0,50.09,53.54200558,3.780590887,166.3868988
A-5801,-6.088238681,260.374,4.4762,71.194,18,4,0,4,9,108,0,0,0,0,44.76,110.9149516,3.804847864,225.8338812
A-5808,-7.622859284,839.246,5.54844,195.3438,51,12,2,17,6,256,4,0,2,6,197.32,340.2725555,2.24E-07,2261.317943
A-5812,-8.462687047,754.502,10.56088,198.9794,50,8,2,14,11,258,4,0,0,4,141.78,308.8344245,1.551095935,1935.260366
A-5813,-8.423596194,689.556,8.0376,183.1154,48,10,2,14,13,246,4,0,0,4,160.24,285.7250983,1.475309548,1777.956217
